Time,Axe1X,Axe1Y,Axe1Z,Axe2X,Axe2Y,Axe2Z,Acquisition Number
1,-196,-3877,-964,3641,421,-1542,1
2,925,-4433,-392,3866,412,-952,1
3,346,-4324,-165,3733,519,-1290,1
4,-200,-3315,-2497,3507,524,-1468,1
5,617,-4483,-919,4062,360,-1720,1
6,171,-4148,-1384,4026,417,-1363,1
7,397,-4100,-278,3991,505,-1175,1
8,269,-3731,-979,3755,382,-1214,1
9,525,-4020,-1237,3885,515,-1397,1
10,-113,-3444,-2152,3749,267,-1611,1
11,46,-4258,-611,4070,264,-1252,1
12,654,-4467,-388,3976,653,-1342,1
13,333,-3973,-1011,3817,507,-1550,1
14,589,-3479,-2486,3680,553,-1421,1
15,-3,-4294,169,3979,443,-1121,1
16,430,-4386,136,4038,530,-1147,1
17,-19,-3777,-1556,3952,435,-1533,1
18,411,-3763,-2054,3872,422,-1530,1
19,-180,-3972,-903,3858,404,-1593,1
20,267,-3985,-1208,3896,477,-1374,1
21,442,-3990,-642,3754,415,-1420,1
22,412,-4211,-1042,3968,516,-1386,1
23,-49,-3909,-920,3880,466,-1438,1
24,-547,-3590,-1749,3789,379,-1457,1
25,349,-4050,-983,3821,446,-1439,1
26,363,-4034,-887,3836,548,-1298,1
27,-200,-3957,-1076,3933,419,-1311,1
28,620,-3971,-1092,3843,573,-1344,1
29,429,-4100,-950,3905,572,-1301,1
30,108,-4006,-1219,3965,401,-1444,1
31,111,-3845,-1106,3868,321,-1404,1
32,940,-4166,-1266,3981,622,-1290,1
33,297,-4001,-888,3837,394,-1378,1
34,-196,-3862,-1058,3857,355,-1647,1
35,716,-3941,-1863,3989,593,-1438,1
36,906,-4386,-162,3992,646,-1193,1
37,-566,-3960,-561,3821,324,-1353,1
38,123,-3672,-1877,3727,439,-1606,1
39,-88,-4067,-904,3853,380,-1482,1
40,521,-4209,-661,4008,552,-1208,1
41,59,-3829,-757,3858,455,-1264,1
42,362,-3906,-1173,3857,561,-1378,1
43,-6,-3891,-881,3800,462,-1528,1
44,187,-3847,-1620,3882,379,-1380,1
45,254,-4215,-833,3947,438,-1384,1
46,217,-4038,-836,3878,437,-1512,1
47,521,-3878,-1400,3830,520,-1499,1
48,89,-3841,-1383,3823,365,-1460,1
49,13,-4049,-673,3990,425,-1240,1
50,-451,-3992,-568,3992,281,-1282,1
51,-5,-3649,-1928,3866,434,-1347,1
52,553,-3906,-1078,3819,497,-1390,1
53,776,-3975,-993,3943,611,-1235,1
54,-278,-4023,-631,3971,432,-1225,1
55,490,-3924,-1329,3837,515,-1316,1
56,73,-4211,-705,3963,389,-1291,1
57,444,-3890,-1528,3894,550,-1372,1
58,31,-3938,-786,3886,421,-1518,1
59,328,-3781,-1640,3879,487,-1384,1
60,363,-4291,-322,3985,555,-1291,1
61,121,-4024,-1010,3866,437,-1502,1
62,172,-3907,-1702,3882,419,-1483,1
63,-163,-3926,-1060,3910,381,-1293,1
64,680,-4328,-146,3827,331,-1364,1
65,507,-3938,-1030,3939,467,-1148,1
66,271,-3894,-1189,3879,453,-1367,1
67,45,-3937,-776,3757,436,-1347,1
68,13,-3825,-1285,3860,379,-1345,1
69,220,-4065,-948,3938,459,-1323,1
70,411,-4018,-897,3887,542,-1237,1
71,634,-4056,-1224,3858,567,-1554,1
72,383,-3715,-1637,3873,507,-1476,1
73,127,-4161,-835,3992,513,-1522,1
74,13,-4056,-806,3985,425,-1337,1
75,217,-3927,-1427,3888,429,-1365,1
76,492,-3874,-1330,3797,469,-1529,1
77,365,-3784,-1349,3910,437,-1304,1
78,238,-4216,-212,3965,493,-1144,1
79,-309,-4083,-661,3965,374,-1248,1
80,-246,-3861,-1409,3829,413,-1430,1
81,552,-3860,-1364,3818,569,-1401,1
82,43,-3926,-968,3863,494,-1240,1
83,108,-4072,-786,3942,485,-1393,1
84,-136,-3651,-1736,3867,456,-1600,1
85,399,-3960,-1510,3874,367,-1638,1
86,569,-3960,-1155,3854,479,-1198,1
87,396,-4180,-344,3885,490,-1396,1
88,-38,-3939,-1169,3781,375,-1512,1
89,-8,-3685,-1810,3802,396,-1600,1
90,185,-4197,-833,3928,422,-1385,1
91,76,-4306,-68,4082,380,-1157,1
92,539,-3989,-930,3843,614,-1319,1
93,169,-3704,-1541,3727,516,-1319,1
94,249,-3879,-1446,3844,448,-1472,1
95,63,-4136,-996,4002,573,-1435,1
96,-294,-4021,-1064,4024,497,-1279,1
97,143,-3877,-1270,3914,545,-1546,1
98,152,-3714,-1480,3755,516,-1364,1
99,269,-4194,-577,3896,467,-1328,1
100,-276,-3958,-692,3885,471,-1220,1
101,282,-3873,-1304,3851,360,-1541,1
102,303,-3954,-1399,3954,383,-1470,1
103,174,-3846,-1269,3887,414,-1385,1
104,521,-4167,-662,3887,510,-1239,1
105,-86,-3845,-660,3870,372,-1248,1
106,107,-3825,-1170,3823,441,-1560,1
107,27,-3811,-1539,3891,352,-1401,1
108,123,-4306,-643,4032,363,-1318,1
109,204,-4178,-486,3939,461,-1296,1
110,127,-3634,-1591,3744,571,-1451,1
111,158,-3890,-1203,3816,494,-1408,1
112,141,-4033,-792,3991,473,-1319,1
113,11,-4134,-1015,4032,456,-1355,1
114,445,-3973,-1576,3982,371,-1446,1
115,719,-4022,-1026,3872,516,-1351,1
116,-161,-3921,-696,3856,493,-1057,1
117,-898,-3912,-337,3928,454,-1170,1
118,399,-3847,-1171,3951,472,-1351,1
119,-72,-4007,-1048,3922,420,-1300,1
120,732,-4036,-1446,3886,538,-1294,1
121,300,-3990,-1346,3915,433,-1385,1
122,298,-3954,-1028,3886,384,-1462,1
123,201,-3971,-982,3862,508,-1254,1
124,142,-4102,-994,3833,491,-1456,1
125,157,-3795,-1571,3846,357,-1453,1
126,-38,-3858,-1222,3920,294,-1456,1
127,558,-4020,-1282,3939,521,-1046,1
128,346,-4228,137,3986,422,-1184,1
129,-741,-3528,-1860,3772,349,-1391,1
130,141,-3752,-1682,3886,510,-1519,1
131,-49,-4018,-839,3908,419,-1271,1
132,313,-4232,-835,4040,500,-1282,1
133,315,-3895,-1575,3771,499,-1501,1
134,510,-3970,-1268,3788,472,-1472,1
135,863,-4182,-1000,3974,565,-1428,1
136,-241,-3848,-1249,3890,436,-1272,1
137,174,-4114,-1096,3931,470,-1557,1
138,120,-3879,-1685,3880,351,-1474,1
139,781,-4098,-1188,4004,637,-1310,1
140,347,-4004,-664,3897,549,-1178,1
141,10,-3986,-776,3871,321,-1491,1
142,717,-3811,-1591,3805,493,-1398,1
143,489,-4162,-914,3981,369,-1294,1
144,-296,-4120,-312,3918,362,-1363,1
145,440,-3880,-1496,3856,485,-1434,1
146,139,-3701,-1510,3813,544,-1488,1
147,-100,-3906,-712,3839,333,-1476,1
148,-51,-4008,-791,3858,369,-1460,1
149,219,-3841,-1635,3889,424,-1494,1
150,251,-4104,-705,4044,510,-1390,1
151,936,-3955,-1446,3964,527,-1249,1
152,217,-4097,-310,3814,555,-1313,1
153,-1267,-3506,-1444,3762,276,-1318,1
154,11,-3909,-978,3920,429,-1373,1
155,57,-3958,-934,3874,510,-1313,1
156,264,-4082,-996,3902,459,-1429,1
157,207,-3891,-1446,3916,506,-1405,1
158,-100,-3941,-1204,3893,403,-1480,1
159,269,-4083,-1125,4056,462,-1293,1
160,-66,-3958,-839,3832,428,-1344,1
161,543,-4023,-1315,3840,581,-1538,1
162,652,-3793,-1559,3745,363,-1587,1
163,1241,-4130,-1394,4032,596,-1272,1
164,541,-4229,-71,3881,482,-1281,1
165,-56,-3846,-1446,3862,320,-1178,1
166,187,-3797,-1284,3749,326,-1509,1
167,156,-3970,-1012,3906,326,-1340,1
168,-199,-4232,-88,3990,392,-1189,1
169,-2,-3656,-1558,3768,338,-1358,1
170,153,-4020,-1219,3884,444,-1458,1
171,187,-3814,-1409,3866,379,-1408,1
172,205,-4130,-834,3994,549,-1377,1
173,319,-3813,-1362,3868,445,-1385,1
174,605,-4146,-705,3964,517,-1370,1
175,1193,-4082,-773,3989,579,-1102,1
176,-803,-3859,-1122,3824,430,-1293,1
177,-724,-3494,-1666,3803,390,-1314,1
178,-100,-4018,-883,3990,527,-1222,1
179,-72,-4102,-562,4006,467,-1180,1
180,239,-3937,-1062,3877,462,-1424,1
181,124,-3971,-1269,3877,387,-1475,1
182,670,-4084,-1188,3946,510,-1437,1
183,-97,-4022,-792,3868,451,-1386,1
184,-178,-3666,-1730,3775,391,-1472,1
185,331,-3955,-1090,3845,475,-1593,1
186,648,-4033,-1092,3964,569,-1237,1
187,1466,-4290,-387,3837,446,-1277,1
188,-1506,-3542,-1587,3774,466,-1342,1
189,-374,-3750,-1522,3832,338,-1496,1
190,-199,-3924,-837,3966,506,-1228,1
191,-34,-4017,-759,3961,519,-1199,1
192,109,-3621,-1475,3752,463,-1424,1
193,-82,-3923,-1368,3848,363,-1514,1
194,350,-4104,-945,3912,425,-1424,1
195,42,-4198,-1027,4009,640,-1366,1
196,140,-3842,-1205,3838,491,-1504,1
197,911,-3941,-1444,3882,519,-1590,1
198,1070,-4023,-1480,4018,719,-1231,1
199,88,-4198,-565,4014,467,-1248,1
200,-85,-3858,-1077,3841,314,-1388,1
201,-342,-3668,-1750,3923,470,-1451,1
202,-162,-3943,-789,3907,366,-1328,1
203,143,-3992,-801,3889,395,-1366,1
204,461,-3890,-1073,3750,465,-1454,1
205,264,-3843,-1608,3875,336,-1389,1
206,-54,-4102,-421,3899,343,-1550,1
207,157,-3699,-1829,3832,423,-1565,1
208,318,-3890,-1426,3870,376,-1514,1
209,767,-4211,-227,3917,609,-1259,1
210,541,-4036,-262,3755,441,-1402,1
211,-434,-3541,-2152,3793,321,-1488,1
212,364,-4099,-802,3931,514,-1247,1
213,-8,-4152,-422,4075,549,-1100,1
214,91,-3921,-1061,3866,446,-1335,1
215,-181,-3667,-1652,3763,289,-1514,1
216,414,-4278,-706,4011,531,-1253,1
217,93,-4116,-417,4061,460,-1098,1
218,367,-3667,-2003,3811,385,-1642,1
219,511,-3652,-1718,3884,643,-1364,1
220,1816,-4307,-482,3972,537,-1219,1
221,1658,-4354,-374,3930,512,-1264,1
222,-2882,-3667,-1557,3821,379,-1643,1
223,174,-3701,-2150,3894,534,-1423,1
224,58,-4245,201,3898,412,-1244,1
225,-146,-4117,-40,3914,245,-1173,1
226,381,-3650,-1688,3747,486,-1463,1
227,652,-3843,-1572,3925,453,-1284,1
228,-135,-4226,-454,3964,367,-1342,1
229,472,-3937,-1314,3906,349,-1424,1
230,703,-4088,-1272,3952,529,-1454,1
231,876,-4023,-1107,3781,404,-1431,1
232,573,-4226,-664,3876,696,-1181,1
233,-260,-3686,-1286,3836,414,-1378,1
234,122,-4036,-1160,3922,471,-1426,1
235,495,-4130,-820,3976,489,-1232,1
236,300,-4104,-1048,3853,427,-1410,1
237,-167,-3729,-1329,3868,445,-1515,1
238,494,-3940,-1281,3944,630,-1242,1
239,155,-4279,-279,3931,449,-1351,1
240,139,-3957,-1185,3915,334,-1450,1
241,409,-3735,-1973,3851,451,-1621,1
242,1261,-4198,-611,3920,528,-1191,1
243,1224,-4388,413,3925,508,-1114,1
244,-2248,-3397,-1672,3813,516,-1509,1
245,-344,-3554,-1986,3798,414,-1386,1
246,-37,-4039,-773,3974,315,-1374,1
247,31,-4084,-498,3966,446,-1267,1
248,-177,-3686,-1831,3864,369,-1353,1
249,-99,-3796,-1029,3791,435,-1328,1
250,-36,-3874,-836,3893,493,-1218,1
251,44,-3816,-1282,3922,523,-1388,1
252,623,-3809,-1697,3914,415,-1564,1
253,1739,-4305,-834,3953,579,-1238,1
254,-1032,-3991,-694,4024,666,-1044,1
255,-1383,-3720,-916,3807,339,-1311,1
256,410,-3637,-2216,3803,529,-1410,1
257,285,-4311,-229,4017,533,-1272,1
258,-116,-4210,-642,4044,405,-1272,1
259,77,-3763,-1319,3749,503,-1512,1
260,379,-3890,-1396,3798,449,-1416,1
261,-84,-4161,-323,3937,437,-1125,1
262,798,-3906,-1361,3892,519,-1440,1
263,1003,-4051,-1510,3971,516,-1359,1
264,1165,-4198,-1282,3886,432,-1368,1
265,-1574,-3624,-769,3781,365,-1242,1
266,-168,-3698,-1512,3703,391,-1535,1
267,268,-3889,-801,3830,408,-1390,1
268,443,-4214,-936,3933,323,-1403,1
269,-52,-3891,-1298,3907,201,-1331,1
270,189,-3907,-1570,3881,534,-1340,1
271,95,-3959,-868,3834,523,-1330,1
272,301,-3953,-1016,3826,463,-1368,1
273,-168,-3863,-629,3935,319,-1484,1
274,1420,-4100,-1588,4021,449,-1403,1
275,-584,-4312,-339,4053,627,-1138,1
276,-801,-3687,-1329,3781,347,-1394,1
277,331,-3830,-1685,3816,580,-1411,1
278,107,-3782,-1672,3888,514,-1317,1
279,-451,-4244,-209,4115,457,-1266,1
280,88,-3858,-1250,3846,498,-1266,1
281,-165,-3908,-935,3874,454,-1413,1
282,-423,-3460,-1539,3758,436,-1321,1
283,-50,-3989,-994,3951,422,-1438,1
284,1181,-3987,-1075,3976,496,-1118,1
285,-86,-4248,-646,4024,441,-1229,1
286,495,-3811,-1266,3801,494,-1447,1
287,-370,-3780,-1619,3836,384,-1590,1
288,95,-3826,-1265,3931,348,-1270,1
289,316,-4120,-353,3954,389,-1291,1
290,13,-3892,-1188,3824,368,-1369,1
291,143,-3908,-1560,3886,420,-1564,1
292,-273,-3846,-918,3809,424,-1532,1
293,397,-4040,-886,3846,409,-1333,1
294,335,-3909,-1126,3931,350,-1355,1
295,1359,-4196,-852,4004,678,-1156,1
296,729,-4118,-642,3976,597,-1227,1
297,-594,-3687,-1558,3905,422,-1512,1
298,-8,-3954,-1160,3972,577,-1382,1
299,249,-3973,-950,3874,423,-1405,1
300,-2,-3924,-1270,3958,380,-1294,1
301,191,-3941,-1158,3853,498,-1506,1
302,410,-4115,-818,3900,615,-1460,1
303,13,-3747,-1638,3815,411,-1409,1
304,281,-3858,-1138,3811,310,-1649,1
305,1211,-4082,-918,4014,510,-1155,1
306,360,-4322,-392,4034,537,-1043,1
307,-869,-3704,-1336,3761,354,-1442,1
308,-178,-3587,-1974,3769,483,-1530,1
309,-2,-3958,-1123,3900,365,-1435,1
310,223,-4069,-696,3933,419,-1388,1
311,137,-3986,-945,3829,493,-1574,1
312,317,-3761,-1796,3813,433,-1535,1
313,-341,-3811,-1095,3894,319,-1409,1
314,607,-4024,-996,3842,484,-1520,1
315,745,-4148,-882,4054,424,-1368,1
316,-274,-4002,-1108,4036,553,-1160,1
317,397,-3987,-643,3946,661,-1212,1
318,142,-3826,-1347,3781,395,-1431,1
319,237,-4052,-1042,3960,423,-1357,1
320,155,-4065,-902,3942,416,-1306,1
321,46,-4324,-486,4059,444,-1291,1
322,473,-3685,-1698,3839,579,-1346,1
323,312,-3842,-1442,3723,482,-1384,1
324,333,-3858,-1333,3720,366,-1491,1
325,542,-4194,-1543,4047,549,-1535,1
326,1101,-4069,-1367,3984,547,-1222,1
327,-1253,-4180,-146,3899,483,-1230,1
328,62,-3525,-1668,3631,528,-1335,1
329,427,-3714,-2051,3856,530,-1389,1
330,-148,-4247,-135,4002,285,-1407,1
331,253,-3939,-1333,3902,390,-1331,1
332,-146,-3698,-1779,3937,313,-1439,1
333,431,-4035,-854,3726,436,-1413,1
334,925,-3987,-1286,3870,559,-1521,1
335,1099,-3795,-1847,3795,502,-1396,1
336,1258,-4533,-261,4167,602,-1223,1
337,-1107,-3926,-615,3937,488,-1286,1
338,-181,-3764,-1538,3781,519,-1641,1
339,-328,-3458,-1748,3789,479,-1457,1
340,347,-4296,-401,4076,359,-1119,1
341,111,-4002,-678,3979,342,-1218,1
342,-456,-3810,-1080,3753,389,-1488,1
343,223,-4004,-1176,3855,547,-1301,1
344,345,-3986,-1093,3942,410,-1256,1
345,1005,-4018,-786,4016,366,-1448,1
346,2287,-4150,-1349,3920,510,-1363,1
347,-166,-3944,-1554,4020,622,-1147,1
348,-852,-3810,-434,3717,489,-1382,1
349,-100,-3575,-1894,3645,429,-1569,1
350,-84,-3831,-1620,4056,417,-1351,1
351,-182,-4177,-581,3993,405,-1250,1
352,382,-4068,-1010,3944,557,-1394,1
353,488,-3667,-2162,3686,262,-1331,1
354,541,-4101,-711,3880,297,-1588,1
355,1629,-4132,-1029,3874,558,-1420,1
356,686,-4184,-1175,4151,550,-1102,1
357,-1026,-3960,-452,3874,504,-1232,1
358,-33,-3907,-1207,3820,606,-1526,1
359,713,-3254,-2613,3813,415,-1357,1
360,683,-4408,-946,4131,528,-1398,1
361,489,-4328,-113,3986,466,-1341,1
362,-196,-3960,-1154,3953,449,-1390,1
363,90,-3745,-1410,3777,328,-1426,1
364,473,-3928,-1224,3781,328,-1638,1
365,556,-3844,-1827,3864,429,-1498,1
366,-54,-4008,-1233,4000,439,-1130,1
367,-87,-4355,797,3921,486,-1084,1
368,169,-3942,-536,3730,420,-1583,1
369,299,-3383,-2727,3679,365,-1542,1
370,394,-4340,-50,3972,524,-1370,1
371,239,-4273,-34,4028,476,-1299,1
372,121,-3621,-1926,3895,359,-1306,1
373,127,-4051,-756,3752,475,-1493,1
374,329,-4136,-433,3866,415,-1384,1
375,175,-3848,-1334,3856,399,-1307,1
376,43,-3831,-1365,3843,436,-1437,1
377,187,-4050,-1204,4042,537,-1256,1
378,399,-4148,-834,4012,521,-1286,1
379,478,-3766,-1351,3766,478,-1407,1
380,282,-3921,-1380,3928,539,-1343,1
381,299,-4193,-548,3957,521,-1297,1
382,253,-3907,-1303,3931,441,-1359,1
383,218,-3924,-1634,3934,467,-1479,1
384,111,-3969,-995,3872,456,-1374,1
385,77,-3989,-984,3906,458,-1368,1
386,217,-3890,-1208,3836,360,-1340,1
387,152,-3941,-1061,3833,328,-1428,1
388,415,-4006,-1158,3890,413,-1346,1
389,237,-4001,-1143,3877,415,-1337,1
390,170,-3877,-1059,3825,318,-1339,1
391,429,-4051,-1014,3914,508,-1288,1
392,396,-4005,-1108,3933,550,-1289,1
393,170,-4053,-916,3987,425,-1317,1
394,218,-3941,-1154,3900,424,-1343,1
395,349,-3972,-1043,3884,411,-1451,1
396,426,-3890,-1233,3821,498,-1340,1
397,303,-4098,-930,3905,506,-1460,1
398,216,-3985,-1061,3923,424,-1341,1
399,235,-4083,-1286,3989,451,-1391,1
400,298,-4008,-1057,3968,519,-1239,1
401,187,-3990,-776,3896,458,-1322,1
402,396,-3896,-1011,3902,354,-1385,1
403,378,-3846,-1105,3773,333,-1386,1
404,462,-4035,-1428,3902,544,-1627,1
405,-180,-3700,-1128,3881,357,-1315,1
406,409,-4038,-1027,3951,587,-1380,1
407,-104,-4007,-118,3846,383,-1343,1
408,541,-3958,-1841,3942,470,-1324,1
409,-136,-3943,-1058,3935,345,-1540,1
410,457,-3956,-1634,3906,423,-1374,1
411,191,-4120,-499,3822,462,-1392,1
412,-65,-3798,-1286,3723,476,-1417,1
413,174,-3969,-1105,3888,341,-1378,1
414,139,-4021,-1042,3984,417,-1364,1
415,-40,-3896,-1080,3963,465,-1376,1
416,283,-3844,-1383,3843,463,-1385,1
417,319,-3939,-966,3889,517,-1390,1
418,252,-3985,-1202,3895,487,-1370,1
419,172,-4147,-868,3979,438,-1347,1
420,296,-3955,-1139,3906,513,-1350,1
421,78,-3793,-1315,3830,462,-1497,1
422,460,-3880,-1460,3856,570,-1445,1
423,152,-4037,-738,3885,405,-1286,1
424,185,-4050,-1073,3876,374,-1349,1
425,153,-3939,-1170,3930,443,-1410,1
426,203,-3878,-1205,3829,443,-1398,1
427,361,-3970,-1061,3901,421,-1442,1
428,110,-3896,-1319,3969,362,-1353,1
429,75,-4004,-904,3955,464,-1386,1
430,205,-3779,-1286,3829,469,-1458,1
431,159,-3846,-1253,3803,505,-1391,1
432,140,-3959,-1076,3888,433,-1370,1
433,171,-3890,-1000,3848,454,-1390,1
434,155,-3896,-1303,3858,395,-1424,1
435,299,-4001,-1090,3927,401,-1388,1
436,265,-3973,-946,3909,512,-1332,1
437,236,-3987,-1032,3944,469,-1277,1
438,125,-3960,-1204,3861,413,-1351,1
439,331,-4054,-913,3922,475,-1293,1
440,141,-3921,-1106,3945,487,-1298,1
441,10,-3831,-870,3766,464,-1183,1
442,1386,-4071,-532,3818,604,-1004,1
443,-822,-3880,-867,3905,307,-1353,1
444,-691,-3410,-771,3740,338,-1135,1
445,894,-3859,-1537,3869,864,-1722,1
446,-1027,-3575,-1475,3728,395,-1659,1
447,-34,-3363,-2264,3823,632,-1366,1
448,-88,-4040,1003,3708,529,-1114,1
449,505,-4213,-836,3914,373,-1028,1
450,239,-3957,-1220,3979,399,-1528,1
451,58,-3409,-2147,3718,315,-1582,1
452,-420,-4358,-806,4079,467,-1176,1
453,-322,-4098,-196,4041,435,-1182,1
454,-262,-3622,-1217,3736,536,-1257,1
455,396,-3905,-2152,3834,362,-1442,1
456,-18,-4005,-1490,3906,449,-1658,1
457,523,-4146,-1208,3961,425,-1361,1
458,462,-4296,-578,3991,460,-1267,1
459,381,-3928,-1285,3885,541,-1343,1
460,-180,-3671,-1511,3750,316,-1478,1
461,376,-3911,-1379,3909,356,-1219,1
462,415,-4359,-120,4036,479,-1237,1
463,-161,-4019,-629,3854,439,-1420,1
464,-8,-3699,-2019,3843,435,-1496,1
465,43,-3826,-840,3801,445,-1246,1
466,125,-4067,-566,3906,458,-1328,1
467,414,-3972,-1060,3886,461,-1240,1
468,335,-3909,-1255,3854,406,-1448,1
469,169,-4053,-1158,3873,450,-1446,1
470,269,-3863,-1202,3810,403,-1520,1
471,571,-3921,-1234,3876,424,-1406,1
472,-147,-3905,-999,3835,520,-1398,1
473,-135,-3830,-1125,3916,480,-1286,1
474,137,-3864,-1192,3894,441,-1378,1
475,11,-4097,-968,3906,422,-1366,1
476,-147,-3926,-1064,3941,411,-1341,1
477,124,-3896,-1202,3941,503,-1307,1
478,319,-4100,-984,3813,510,-1364,1
479,201,-4119,-1060,3981,523,-1383,1
480,-24,-3985,-1144,4035,430,-1343,1
481,367,-4056,-1058,3861,479,-1412,1
482,477,-4104,-1234,3887,478,-1339,1
483,-23,-3992,-807,3878,377,-1348,1
484,474,-4068,-802,3780,477,-1390,1
485,491,-3843,-1640,3849,509,-1508,1
486,-6,-4035,-1059,3914,379,-1434,1
487,123,-4164,-771,4086,279,-1396,1
488,169,-3847,-1042,4054,273,-1434,1
489,809,-4001,-1286,3896,446,-1384,1
490,-387,-3701,-1400,3698,277,-1452,1
491,-2,-4004,-856,3793,537,-1274,1
492,8,-4100,-963,3746,378,-1403,1
493,303,-3989,-1143,3950,508,-1389,1
494,205,-3876,-868,3912,368,-1334,1
495,319,-3699,-1608,3966,472,-1242,1
496,316,-4084,-1287,3916,507,-1315,1
497,314,-4002,-1123,3872,477,-1494,1
498,233,-3893,-1381,3957,446,-1390,1
499,88,-4049,-1028,3966,448,-1376,1
500,-54,-4065,-770,4006,483,-1173,1
501,-68,-3846,-964,3960,453,-1183,1
502,477,-3800,-1143,3777,428,-1386,1
503,431,-4003,-1480,3876,505,-1525,1
504,79,-3921,-948,3866,343,-1478,1
505,524,-4103,-1059,3956,481,-1342,1
506,302,-4021,-839,3873,504,-1383,1
507,223,-3862,-1412,3878,326,-1468,1
508,346,-3937,-1237,3886,437,-1368,1
509,410,-3925,-1063,3907,424,-1329,1
510,187,-3985,-680,3857,399,-1372,1
511,282,-3816,-1351,3847,485,-1397,1
512,127,-3960,-1171,3880,438,-1433,1
513,462,-4103,-1032,3912,494,-1299,1
514,-100,-4039,-721,3908,409,-1322,1
515,220,-3942,-1381,3847,447,-1385,1
516,218,-4001,-1093,3891,441,-1507,1
517,173,-3905,-1331,3947,531,-1295,1
518,40,-4102,-802,3963,481,-1343,1
519,205,-4019,-1205,3943,471,-1358,1
520,107,-3923,-1093,3843,545,-1391,1
521,344,-3954,-1270,3905,549,-1350,1
522,171,-4087,-792,3876,471,-1423,1
523,345,-3877,-1158,3930,475,-1341,1
524,91,-4007,-1093,3932,407,-1394,1
525,8,-3942,-1076,3886,427,-1374,1
526,287,-3842,-1077,3844,477,-1337,1
527,379,-3938,-1064,3814,459,-1304,1
528,474,-3991,-835,3856,441,-1325,1
529,72,-3827,-1143,3848,414,-1418,1
530,139,-3800,-1316,3883,419,-1380,1
531,-100,-3957,-914,3885,421,-1410,1
532,460,-4035,-883,3848,483,-1339,1
533,477,-3988,-1256,3915,419,-1394,1
534,446,-4037,-1077,3929,466,-1371,1
535,25,-3942,-1028,3906,417,-1374,1
536,-23,-3874,-1157,3878,389,-1327,1
537,75,-4100,-772,3986,506,-1262,1
538,377,-4116,-677,3843,475,-1400,1
